sample_id,person,rel_path,split
969,AJ_Cook,data/lfw/images/AJ_Cook/000969.jpg,train
5964,AJ_Lamas,data/lfw/images/AJ_Lamas/005964.jpg,train
7777,Aaron_Eckhart,data/lfw/images/Aaron_Eckhart/007777.jpg,train
11395,Aaron_Guiel,data/lfw/images/Aaron_Guiel/011395.jpg,train
7384,Aaron_Patterson,data/lfw/images/Aaron_Patterson/007384.jpg,train
4886,Aaron_Peirsol,data/lfw/images/Aaron_Peirsol/004886.jpg,train
8670,Aaron_Peirsol,data/lfw/images/Aaron_Peirsol/008670.jpg,train
10245,Aaron_Peirsol,data/lfw/images/Aaron_Peirsol/010245.jpg,train
11352,Aaron_Peirsol,data/lfw/images/Aaron_Peirsol/011352.jpg,train
9748,Aaron_Pena,data/lfw/images/Aaron_Pena/009748.jpg,val
6712,Aaron_Sorkin,data/lfw/images/Aaron_Sorkin/006712.jpg,val
12474,Aaron_Sorkin,data/lfw/images/Aaron_Sorkin/012474.jpg,val
9395,Aaron_Tippin,data/lfw/images/Aaron_Tippin/009395.jpg,train
12331,Abba_Eban,data/lfw/images/Abba_Eban/012331.jpg,train
12178,Abbas_Kiarostami,data/lfw/images/Abbas_Kiarostami/012178.jpg,test
6876,Abdel_Aziz_Al-Hakim,data/lfw/images/Abdel_Aziz_Al-Hakim/006876.jpg,val
4539,Abdel_Madi_Shabneh,data/lfw/images/Abdel_Madi_Shabneh/004539.jpg,val
7029,Abdel_Nasser_Assidi,data/lfw/images/Abdel_Nasser_Assidi/007029.jpg,train
8157,Abdel_Nasser_Assidi,data/lfw/images/Abdel_Nasser_Assidi/008157.jpg,train
5207,Abdoulaye_Wade,data/lfw/images/Abdoulaye_Wade/005207.jpg,train
5736,Abdoulaye_Wade,data/lfw/images/Abdoulaye_Wade/005736.jpg,train
9240,Abdoulaye_Wade,data/lfw/images/Abdoulaye_Wade/009240.jpg,train
10251,Abdoulaye_Wade,data/lfw/images/Abdoulaye_Wade/010251.jpg,train
9189,Abdul_Majeed_Shobokshi,data/lfw/images/Abdul_Majeed_Shobokshi/009189.jpg,test
10360,Abdul_Rahman,data/lfw/images/Abdul_Rahman/010360.jpg,train
11139,Abdulaziz_Kamilov,data/lfw/images/Abdulaziz_Kamilov/011139.jpg,train
272,Abdullah,data/lfw/images/Abdullah/000272.jpg,train
4398,Abdullah,data/lfw/images/Abdullah/004398.jpg,train
7009,Abdullah,data/lfw/images/Abdullah/007009.jpg,train
12090,Abdullah,data/lfw/images/Abdullah/012090.jpg,train
